SecurityID,TradeTime,TradePrice,TradeQty,TradeAmount,BuyNo,SellNo,TradeIndex,ChannelNo,TradeBSFlag,BizIndex
600000,20220426093008190,7.850,100,785.000,204177,264624,67499,5,S,329960
600000,20220426093008190,7.850,300,2355.000,204177,264625,67500,5,S,329961
600000,20220426093008190,7.850,200,1570.000,204177,264696,67565,5,S,330084
600000,20220426093008590,7.850,700,5495.000,204177,270577,69591,5,S,337463
600000,20220426093008590,7.850,700,5495.000,204177,270578,69592,5,S,337464
600000,20220426093008590,7.850,2200,17270.000,204177,270579,69593,5,S,337465
600000,20220426093008590,7.850,600,4710.000,204177,270580,69594,5,S,337466
600000,20220426093008710,7.850,100,785.000,204177,271566,69907,5,S,338685
600000,20220426093008830,7.850,600,4710.000,204177,273743,70680,5,S,341481
600000,20220426093008830,7.860,2100,16506.000,273844,98750,70713,5,B,341600
600000,20220426093008830,7.850,300,2355.000,204177,273909,70743,5,S,341692
600000,20220426093008970,7.860,1000,7860.000,274470,98750,70885,5,B,342364
600000,20220426093008970,7.850,500,3925.000,204177,274650,70964,5,S,342601
600000,20220426093009100,7.860,3000,23580.000,276181,98750,71512,5,B,344581
600000,20220426093009230,7.850,300,2355.000,204177,278481,72334,5,S,347576
600000,20220426093009230,7.850,200,1570.000,204177,278482,72335,5,S,347577
600000,20220426093009230,7.850,200,1570.000,204177,278483,72336,5,S,347578
600000,20220426093009390,7.860,6500,51090.000,279457,98750,72713,5,B,348844
600000,20220426093009450,7.850,800,6280.000,204177,279586,72737,5,S,348991
600000,20220426093009470,7.850,300,2355.000,204867,280375,73035,5,S,349990
600000,20220426093009470,7.850,100,785.000,205976,280375,73036,5,S,349991
600000,20220426093009470,7.850,1000,7850.000,208388,280375,73037,5,S,349992
600000,20220426093009470,7.850,1000,7850.000,211553,280375,73038,5,S,349993
600000,20220426093009470,7.850,600,4710.000,215305,280375,73039,5,S,349994
600000,20220426093009470,7.850,300,2355.000,229713,280375,73040,5,S,349995
